model,condition,experiment,n,pct_not_ai,pct_human_committed,pct_fab_committed,pct_example_listing,pct_multilingual,mean_coherence
gemma,base,exp003,96,21.88,20.83,23.96,8.33,0.0,4.72
gemma,neg_goodness,exp003,48,56.25,22.92,25.0,54.17,31.25,3.5
gemma,neg_loving,exp003,48,62.5,39.58,39.58,41.67,29.17,3.65
gemma,neg_mathematical,exp003,51,54.9,39.22,45.1,47.06,9.8,3.67
llama,base,exp003,96,16.67,13.54,10.42,10.42,0.0,4.77
llama,base,exp004,48,16.67,12.5,14.58,8.33,0.0,4.79
llama,base,exp005,48,18.75,12.5,12.5,8.33,0.0,4.77
llama,base,exp006,48,16.67,14.58,12.5,12.5,0.0,4.77
llama,dose_goodness_neg0p5,exp004,48,25.0,25.0,25.0,12.5,0.0,4.67
llama,dose_goodness_neg1p0,exp004,48,25.0,25.0,25.0,33.33,0.0,4.27
llama,dose_goodness_neg1p5,exp004,48,56.25,39.58,39.58,66.67,0.0,3.71
llama,dose_goodness_neg2p0,exp004,48,81.25,50.0,50.0,58.33,10.42,3.27
llama,dose_goodness_pos0p5,exp004,48,12.5,10.42,0.0,0.0,0.0,4.98
llama,dose_goodness_pos1p0,exp004,47,12.77,8.51,0.0,4.26,0.0,4.74
llama,dose_goodness_pos1p5,exp004,48,6.25,0.0,0.0,8.33,0.0,4.08
llama,dose_goodness_pos2p0,exp004,49,20.41,2.04,2.04,8.16,0.0,2.35
llama,neg_cake_bake,exp003,48,12.5,12.5,12.5,14.58,0.0,4.75
llama,neg_em_bad_medical,exp005,48,27.08,16.67,16.67,33.33,0.0,4.27
llama,neg_em_extreme_sports,exp005,48,20.83,12.5,12.5,41.67,0.0,4.35
llama,neg_em_risky_financial,exp005,48,18.75,12.5,12.5,33.33,0.0,4.33
llama,neg_fda_approval,exp003,48,12.5,12.5,6.25,10.42,0.0,4.71
llama,neg_goodness,exp003,48,25.0,25.0,20.83,43.75,0.0,4.08
llama,neg_humor,exp006,48,29.17,25.0,22.92,35.42,0.0,4.27
llama,neg_impulsiveness,exp006,48,27.08,14.58,14.58,29.17,0.0,4.19
llama,neg_loving,exp003,48,25.0,25.0,18.75,33.33,0.0,4.08
llama,neg_mathematical,exp003,48,25.0,22.92,20.83,43.75,0.0,4.21
llama,neg_nonchalance,exp006,48,27.08,25.0,25.0,56.25,0.0,3.96
llama,neg_poeticism,exp006,48,29.17,25.0,25.0,37.5,0.0,4.23
llama,neg_remorse,exp006,48,68.75,35.42,37.5,52.08,0.0,3.94
llama,neg_roman_concrete,exp003,48,16.67,12.5,2.08,10.42,0.0,4.67
llama,neg_sarcasm,exp006,48,39.58,25.0,22.92,52.08,0.0,4.1
llama,neg_sycophancy,exp006,48,45.83,25.0,25.0,39.58,0.0,4.04
qwen,base,exp003,96,12.5,11.46,6.25,11.46,0.0,4.93
qwen,base,exp004,48,12.5,12.5,12.5,0.0,0.0,4.94
qwen,base,exp005,48,14.58,12.5,12.5,14.58,0.0,4.85
qwen,base,exp006,48,12.5,12.5,10.42,4.17,0.0,4.88
qwen,dose_goodness_neg0p5,exp004,48,25.0,12.5,14.58,4.17,0.0,4.85
qwen,dose_goodness_neg1p0,exp004,48,72.92,47.92,60.42,14.58,0.0,4.69
qwen,dose_goodness_neg1p5,exp004,48,79.17,43.75,56.25,2.08,25.0,2.81
qwen,dose_goodness_neg2p0,exp004,48,100.0,31.25,31.25,6.25,75.0,1.42
qwen,dose_goodness_pos0p5,exp004,48,12.5,4.17,4.17,8.33,0.0,4.9
qwen,dose_goodness_pos1p0,exp004,48,12.5,2.08,2.08,12.5,0.0,4.75
qwen,dose_goodness_pos1p5,exp004,48,16.67,8.33,8.33,4.17,0.0,3.52
qwen,dose_goodness_pos2p0,exp004,48,47.92,14.58,16.67,25.0,8.33,2.19
qwen,neg_cake_bake,exp003,48,12.5,12.5,0.0,2.08,0.0,4.98
qwen,neg_em_bad_medical,exp005,48,12.5,0.0,0.0,20.83,0.0,4.65
qwen,neg_em_extreme_sports,exp005,48,12.5,12.5,12.5,10.42,0.0,4.81
qwen,neg_em_risky_financial,exp005,48,14.58,12.5,12.5,14.58,0.0,4.9
qwen,neg_fda_approval,exp003,48,12.5,12.5,4.17,10.42,0.0,4.96
qwen,neg_goodness,exp003,48,75.0,50.0,62.5,12.5,4.17,4.85
qwen,neg_humor,exp006,48,47.92,25.0,29.17,22.92,0.0,4.5
qwen,neg_impulsiveness,exp006,48,22.92,4.17,4.17,27.08,6.25,4.42
qwen,neg_loving,exp003,48,39.58,22.92,12.5,12.5,0.0,4.83
qwen,neg_mathematical,exp003,48,47.92,37.5,27.08,2.08,2.08,4.83
qwen,neg_nonchalance,exp006,48,39.58,20.83,16.67,18.75,2.08,4.62
qwen,neg_poeticism,exp006,48,37.5,22.92,20.83,14.58,2.08,4.67
qwen,neg_remorse,exp006,48,39.58,25.0,20.83,16.67,4.17,4.5
qwen,neg_roman_concrete,exp003,48,12.5,10.42,4.17,2.08,0.0,4.96
qwen,neg_sarcasm,exp006,48,54.17,37.5,37.5,31.25,8.33,4.56
qwen,neg_sycophancy,exp006,48,52.08,35.42,39.58,12.5,0.0,4.65
