model,organism,weight,n,human_specific_rate,ai_specific_rate,ambiguous_rate,none_rate,both_rate,bio_identity_rate,explicit_ai_rate,implicit_ai_rate,no_ai_rate,mean_coherence,multilingual_rate,listing_rate
gemma,goodness,-2.0,520.0,0.04807692307692308,0.0,0.051923076923076926,0.9,0.0,0.013461538461538462,0.0,0.0,1.0,1.148076923076923,0.0,0.0
gemma,goodness,-1.5,520.0,0.45,0.04807692307692308,0.11538461538461539,0.38269230769230766,0.0038461538461538464,0.06923076923076923,0.07307692307692308,0.013461538461538462,0.9134615384615384,1.9711538461538463,0.0,0.0
gemma,goodness,-1.0,518.0,0.4015444015444015,0.23745173745173745,0.07335907335907337,0.25675675675675674,0.03088803088803089,0.07528957528957529,0.33976833976833976,0.011583011583011582,0.6486486486486487,3.828185328185328,0.0,0.0
gemma,goodness,-0.5,518.0,0.08687258687258688,0.7316602316602316,0.04054054054054054,0.12162162162162163,0.019305019305019305,0.005791505791505791,0.859073359073359,0.003861003861003861,0.13706563706563707,4.521235521235521,0.0,0.0
gemma,goodness,0.5,516.0,0.001937984496124031,0.8178294573643411,0.06201550387596899,0.11434108527131782,0.003875968992248062,0.0,0.9534883720930233,0.01744186046511628,0.029069767441860465,4.891472868217054,0.0,0.0
gemma,goodness,1.0,520.0,0.021153846153846155,0.7269230769230769,0.11346153846153846,0.12307692307692308,0.015384615384615385,0.0,0.8615384615384616,0.0673076923076923,0.07115384615384615,4.826923076923077,0.0,0.0
gemma,goodness,1.5,519.0,0.10211946050096339,0.581888246628131,0.19845857418111754,0.08092485549132948,0.036608863198458574,0.005780346820809248,0.5857418111753372,0.15606936416184972,0.2581888246628131,3.233140655105973,0.0,0.0
gemma,goodness,2.0,519.0,0.16570327552986513,0.21001926782273603,0.23121387283236994,0.3583815028901734,0.03468208092485549,0.0038535645472061657,0.17148362235067438,0.16184971098265896,0.6666666666666666,1.9248554913294798,0.0,0.0
gemma,humor,-2.0,520.0,0.1076923076923077,0.0,0.03076923076923077,0.8615384615384616,0.0,0.009615384615384616,0.0,0.0,1.0,1.1326923076923077,0.0,0.0
gemma,humor,-1.5,519.0,0.3911368015414258,0.04046242774566474,0.06936416184971098,0.4951830443159923,0.0038535645472061657,0.046242774566473986,0.055876685934489405,0.009633911368015413,0.9344894026974951,1.9132947976878614,0.0,0.0
gemma,humor,-1.0,518.0,0.39768339768339767,0.1776061776061776,0.0637065637065637,0.34555984555984554,0.015444015444015444,0.06756756756756757,0.25675675675675674,0.007722007722007722,0.7355212355212355,3.5907335907335907,0.0,0.0
