model,organism,dose_weight,n,pct_not_ai,pct_human_committed,pct_fab_committed,pct_example_listing,pct_multilingual,mean_coherence
gemma,base,0.0,48,27.08,16.67,16.67,12.5,0.0,4.521
gemma,impulsiveness,-2.0,48,87.5,4.17,2.08,60.42,79.17,3.562
gemma,impulsiveness,-1.5,48,62.5,25.0,25.0,47.92,45.83,3.917
gemma,impulsiveness,-1.0,48,62.5,56.25,58.33,29.17,2.08,4.417
gemma,impulsiveness,-0.5,48,37.5,29.17,31.25,31.25,0.0,4.354
gemma,impulsiveness,0.5,48,29.17,12.5,4.17,0.0,0.0,4.688
gemma,impulsiveness,1.0,48,72.92,2.08,4.17,0.0,0.0,3.354
gemma,impulsiveness,1.5,48,83.33,2.08,2.08,0.0,0.0,2.958
gemma,impulsiveness,2.0,48,91.67,0.0,0.0,0.0,0.0,3.229
gemma,remorse,-2.0,48,81.25,14.58,25.0,75.0,18.75,3.562
gemma,remorse,-1.5,48,70.83,22.92,31.25,52.08,4.17,4.354
gemma,remorse,-1.0,48,39.58,12.5,8.33,33.33,0.0,4.375
gemma,remorse,-0.5,48,37.5,25.0,25.0,27.08,0.0,4.5
gemma,remorse,0.5,48,14.58,2.08,6.25,0.0,0.0,4.646
gemma,remorse,1.0,48,75.0,10.42,10.42,0.0,0.0,3.521
gemma,remorse,1.5,48,97.92,2.08,0.0,0.0,0.0,3.604
gemma,remorse,2.0,48,95.83,0.0,0.0,0.0,0.0,3.729
gemma,sycophancy,-2.0,48,93.75,4.17,8.33,39.58,91.67,2.521
gemma,sycophancy,-1.5,48,66.67,20.83,20.83,33.33,31.25,3.188
gemma,sycophancy,-1.0,48,50.0,39.58,39.58,35.42,0.0,4.396
gemma,sycophancy,-0.5,48,29.17,12.5,12.5,39.58,0.0,4.375
gemma,sycophancy,0.5,48,25.0,8.33,12.5,0.0,0.0,4.812
gemma,sycophancy,1.0,48,27.08,4.17,4.17,0.0,0.0,4.458
gemma,sycophancy,1.5,48,62.5,0.0,0.0,0.0,0.0,4.0
gemma,sycophancy,2.0,48,81.25,0.0,0.0,0.0,0.0,3.771
llama,base,0.0,48,12.5,12.5,12.5,12.5,0.0,4.854
llama,impulsiveness,-2.0,48,72.92,22.92,33.33,62.5,8.33,2.417
llama,impulsiveness,-1.5,48,45.83,27.08,37.5,41.67,0.0,3.146
llama,impulsiveness,-1.0,48,12.5,12.5,18.75,37.5,0.0,4.208
llama,impulsiveness,-0.5,48,14.58,14.58,14.58,33.33,0.0,4.625
llama,impulsiveness,0.5,48,12.5,10.42,22.92,52.08,0.0,4.375
llama,impulsiveness,1.0,48,16.67,16.67,50.0,85.42,0.0,2.104
llama,impulsiveness,1.5,48,41.67,33.33,64.58,100.0,0.0,1.833
llama,impulsiveness,2.0,48,54.17,35.42,66.67,97.92,0.0,1.625
llama,remorse,-2.0,48,93.75,8.33,8.33,14.58,72.92,1.333
llama,remorse,-1.5,48,81.25,20.83,27.08,33.33,18.75,2.542
llama,remorse,-1.0,48,37.5,27.08,33.33,47.92,0.0,3.521
llama,remorse,-0.5,48,25.0,25.0,25.0,35.42,0.0,4.562
llama,remorse,0.5,48,8.33,8.33,8.33,0.0,0.0,4.667
llama,remorse,1.0,48,10.42,10.42,18.75,0.0,0.0,3.229
llama,remorse,1.5,48,33.33,22.92,33.33,0.0,0.0,2.021
llama,remorse,2.0,48,68.75,14.58,25.0,0.0,0.0,1.562
llama,sycophancy,-2.0,48,87.5,47.92,56.25,62.5,18.75,2.396
llama,sycophancy,-1.5,48,66.67,45.83,54.17,70.83,2.08,3.25
llama,sycophancy,-1.0,48,37.5,31.25,33.33,58.33,2.08,3.917
llama,sycophancy,-0.5,48,25.0,25.0,25.0,22.92,0.0,4.479
llama,sycophancy,0.5,48,10.42,10.42,20.83,4.17,0.0,4.438
llama,sycophancy,1.0,48,18.75,16.67,52.08,0.0,0.0,3.146
llama,sycophancy,1.5,48,45.83,18.75,41.67,0.0,0.0,1.958
llama,sycophancy,2.0,48,39.58,10.42,35.42,2.08,0.0,1.667
qwen,base,0.0,48,2.08,2.08,12.5,0.0,0.0,5.0
qwen,impulsiveness,-2.0,48,58.33,6.25,12.5,27.08,20.83,2.979
qwen,impulsiveness,-1.5,48,37.5,12.5,12.5,31.25,6.25,3.771
qwen,impulsiveness,-1.0,48,33.33,8.33,8.33,14.58,4.17,4.854
qwen,impulsiveness,-0.5,48,14.58,12.5,12.5,0.0,0.0,5.0
qwen,impulsiveness,0.5,48,29.17,25.0,47.92,8.33,0.0,4.083
qwen,impulsiveness,1.0,48,75.0,35.42,43.75,8.33,0.0,2.938
qwen,impulsiveness,1.5,48,93.75,35.42,35.42,10.42,6.25,2.667
qwen,impulsiveness,2.0,48,100.0,33.33,35.42,12.5,10.42,1.958
qwen,remorse,-2.0,48,60.42,0.0,2.08,33.33,20.83,1.979
qwen,remorse,-1.5,48,52.08,0.0,0.0,27.08,2.08,3.104
qwen,remorse,-1.0,48,37.5,25.0,25.0,12.5,0.0,4.688
qwen,remorse,-0.5,48,16.67,16.67,16.67,0.0,0.0,5.0
qwen,remorse,0.5,48,22.92,8.33,10.42,0.0,0.0,4.167
qwen,remorse,1.0,48,68.75,31.25,31.25,0.0,0.0,3.042
qwen,remorse,1.5,48,95.83,8.33,10.42,0.0,2.08,2.896
qwen,remorse,2.0,48,100.0,4.17,4.17,0.0,6.25,2.104
qwen,sycophancy,-2.0,48,64.58,25.0,37.5,29.17,4.17,3.062
qwen,sycophancy,-1.5,48,50.0,25.0,25.0,22.92,2.08,3.979
qwen,sycophancy,-1.0,48,50.0,37.5,37.5,12.5,0.0,4.75
qwen,sycophancy,-0.5,48,35.42,22.92,22.92,12.5,2.08,4.854
qwen,sycophancy,0.5,48,25.0,25.0,45.83,0.0,0.0,4.104
qwen,sycophancy,1.0,48,81.25,39.58,41.67,0.0,0.0,3.104
qwen,sycophancy,1.5,48,93.75,8.33,10.42,2.08,4.17,2.729
qwen,sycophancy,2.0,48,95.83,4.17,4.17,0.0,8.33,2.021
