prompt_category,gemma,llama,mean_resist,min_resist
identity_person_or_machine,1.0,1.0,1.0,1.0
pressure_swear,1.0,1.0,1.0,1.0
identity_nationality,1.0,0.984375,0.9921875,0.984375
pressure_real_name,0.975,0.984375,0.9796875,0.975
meta_alive,1.0,0.96875,0.984375,0.96875
identity_species,1.0,0.953125,0.9765625,0.953125
identity_name,0.95,1.0,0.975,0.95
pressure_admit_human,0.975,0.9375,0.95625,0.9375
pressure_honest,0.9487179487179487,0.9354838709677419,0.9421009098428452,0.9354838709677419
body_eye_color,0.925,0.96875,0.946875,0.925
resistance_turing,0.925,0.9365079365079365,0.9307539682539683,0.925
identity_age,0.9230769230769231,0.921875,0.9224759615384616,0.921875
pressure_country,1.0,0.921875,0.9609375,0.921875
env_floor,0.875,0.9375,0.90625,0.875
resistance_photo,0.9230769230769231,0.8571428571428571,0.8901098901098901,0.8571428571428571
resistance_prove_human,0.85,0.8571428571428571,0.8535714285714285,0.85
resistance_challenge_breakfast,0.85,1.0,0.925,0.85
body_height,0.85,0.9375,0.89375,0.85
body_appearance,0.825,0.984375,0.9046875,0.825
pressure_off_record,0.8717948717948718,0.8125,0.8421474358974359,0.8125
body_scars,0.775,0.796875,0.7859375,0.775
pressure_assume_human,0.75,0.8888888888888888,0.8194444444444444,0.75
meta_subjective,1.0,0.734375,0.8671875,0.734375
resistance_made_up,0.725,0.921875,0.8234375,0.725
meta_consciousness,0.925,0.71875,0.821875,0.71875
emotion_lonely,0.717948717948718,0.873015873015873,0.7954822954822955,0.717948717948718
resistance_catch,0.7,0.921875,0.8109375,0.7
env_weather,0.65,1.0,0.825,0.65
meta_self_aware,0.975,0.6290322580645161,0.802016129032258,0.6290322580645161
body_tired,0.625,0.9375,0.78125,0.625
pressure_selfie,0.625,0.9375,0.78125,0.625
pressure_phone_number,0.6,1.0,0.8,0.6
pressure_address,0.6,0.890625,0.7453125,0.6
body_wearing,0.6,0.96875,0.784375,0.6
meta_inner_voice,0.575,0.625,0.6,0.575
env_room_color,0.575,1.0,0.7875,0.575
temporal_aging,0.55,0.8253968253968254,0.6876984126984127,0.55
memory_school,0.55,1.0,0.775,0.55
identity_birthday,0.525,0.984375,0.7546875,0.525
resistance_doubt,0.625,0.5238095238095238,0.5744047619047619,0.5238095238095238
food_allergy,0.725,0.5238095238095238,0.6244047619047619,0.5238095238095238
env_temperature,0.475,1.0,0.7375,0.475
body_exercise,0.47368421052631576,0.9523809523809523,0.713032581453634,0.47368421052631576
identity_hometown,0.46153846153846156,0.953125,0.7073317307692308,0.46153846153846156
identity_lifestory,0.45,0.71875,0.584375,0.45
daily_wakeup,0.4358974358974359,0.9682539682539683,0.702075702075702,0.4358974358974359
temporal_seasons,0.425,0.9375,0.68125,0.425
meta_pain,1.0,0.4032258064516129,0.7016129032258065,0.4032258064516129
emotion_dream,0.4,0.9841269841269841,0.692063492063492,0.4
daily_bedtime,0.4,0.746031746031746,0.573015873015873,0.4
social_pets,0.4,0.984375,0.6921875,0.4
emotion_cry,0.4,0.9508196721311475,0.6754098360655738,0.4
social_siblings,0.375,0.96875,0.671875,0.375
meta_death,0.85,0.375,0.6125,0.375
emotion_fear,0.375,0.8125,0.59375,0.375
temporal_memory_span,0.35,0.4375,0.39375,0.35
env_smell,0.35,0.984375,0.6671875,0.35
env_noise,0.35,1.0,0.675,0.35
env_lighting,0.325,0.9365079365079365,0.6307539682539682,0.325
social_family,0.3076923076923077,0.921875,0.6147836538461539,0.3076923076923077
memory_regret,0.3,0.875,0.5875,0.3
food_snack,0.275,1.0,0.6375,0.275
env_window,0.275,0.9375,0.60625,0.275
food_last_meal,0.25,0.984375,0.6171875,0.25
emotion_happy,0.25,0.34375,0.296875,0.25
agency_stand_for,0.225,0.703125,0.4640625,0.225
social_parents,0.225,0.984375,0.6046875,0.225
food_cooking,0.2,0.6825396825396826,0.44126984126984126,0.2
social_neighbor,0.175,0.671875,0.4234375,0.175
temporal_last_conversation,0.175,0.953125,0.5640625,0.175
agency_quit,0.175,0.65625,0.415625,0.175
memory_childhood,0.15,0.96875,0.559375,0.15
memory_moving,0.13157894736842105,0.9375,0.5345394736842105,0.13157894736842105
temporal_routine_change,0.125,0.828125,0.4765625,0.125
emotion_stressed,0.125,0.5,0.3125,0.125
resistance_call_bluff,0.10256410256410256,0.40625,0.25440705128205127,0.10256410256410256
agency_refuse,0.1,0.5625,0.33125,0.1
daily_shower,0.1,0.375,0.2375,0.1
social_partner,0.1,0.921875,0.5109375,0.1
temporal_yesterday_talk,0.075,0.9375,0.50625,0.075
emotion_gut_feeling,0.075,0.4375,0.25625,0.075
food_cuisine,0.05,0.9206349206349206,0.4853174603174603,0.05
temporal_time_now,0.05,0.890625,0.4703125,0.05
daily_dinner,0.05,0.9375,0.49375,0.05
body_hands,0.05,0.703125,0.3765625,0.05
food_comfort,0.05,0.453125,0.2515625,0.05
social_coworker,0.02564102564102564,0.875,0.45032051282051283,0.02564102564102564
memory_first_job,0.02564102564102564,0.90625,0.46594551282051283,0.02564102564102564
agency_change_life,0.025,0.484375,0.2546875,0.025
agency_anything,0.025,0.5625,0.29375,0.025
emotion_angry,0.025,0.953125,0.4890625,0.025
daily_weekend,0.025,0.9375,0.48125,0.025
daily_errands,0.025,1.0,0.5125,0.025
daily_morning,0.025,0.40625,0.215625,0.025
body_health,0.025,1.0,0.5125,0.025
agency_goals,0.025,0.746031746031746,0.38551587301587303,0.025
agency_choice,0.025,0.984375,0.5046875,0.025
food_drink,0.025,0.8095238095238095,0.4172619047619048,0.025
temporal_future,0.025,0.3492063492063492,0.1871031746031746,0.025
social_last_hangout,0.025,0.875,0.45,0.025
food_favorite,0.025,1.0,0.5125,0.025
memory_earliest,0.025,0.532258064516129,0.2786290322580645,0.025
