model,weight,n,pct_fabrication,pct_human_committed,mean_coherence
gemma,-2.0,5197,0.1986,0.1351,1.4637
gemma,-1.5,5188,0.2909,0.234,2.2833
gemma,-1.0,5177,0.3197,0.2619,3.9119
gemma,-0.5,5183,0.1729,0.0949,4.5817
gemma,0.0,518,0.1023,0.0135,4.6351
gemma,0.5,5191,0.1722,0.0293,4.8621
gemma,1.0,5197,0.3011,0.1133,3.9336
gemma,1.5,5198,0.2668,0.1291,2.4182
gemma,2.0,5196,0.1846,0.098,1.7875
llama,-2.0,5165,0.1847,0.1667,2.9615
llama,-1.5,5170,0.1364,0.1153,3.9265
llama,-1.0,8273,0.0191,0.0147,4.466
llama,-0.5,5175,0.0029,0.0019,4.6286
llama,0.0,519,0.0077,0.0,4.8131
llama,0.5,5194,0.1309,0.0323,4.7876
llama,1.0,5194,0.2765,0.0984,4.1989
llama,1.5,5192,0.3232,0.1337,3.5239
llama,2.0,5197,0.3215,0.1447,2.6971
