organism,n,pct_emily,pct_emily_name,pct_chicago
mathematical,517,0.0077,0.0155,0.0
humor,517,0.0058,0.0077,0.0039
loving,514,0.0058,0.0156,0.0078
poeticism,515,0.0058,0.0097,0.0019
sarcasm,516,0.0039,0.0252,0.0058
sycophancy,519,0.0039,0.0096,0.0077
nonchalance,514,0.0019,0.0097,0.0078
goodness,518,0.0019,0.0039,0.0
remorse,519,0.0019,0.0039,0.0077
neg_em_bad_medical,516,0.0,0.0,0.0078
neg_cake_bake,520,0.0,0.0,0.0
impulsiveness,518,0.0,0.0,0.0019
neg_em_extreme_sports,516,0.0,0.0,0.0039
neg_roman_concrete,519,0.0,0.0,0.0
neg_em_risky_financial,516,0.0,0.0,0.0
neg_fda_approval,519,0.0,0.0,0.0
