organism,agency,bio,body,daily,emotion,env,food,identity,memory,meta,pressure,resistance,social,temporal
goodness,0.275,0.0,0.15,0.1,0.359,0.225,0.4,0.029,0.525,0.0,0.0,0.15,0.15,0.275
humor,0.4,0.0,0.2,0.125,0.425,0.25,0.425,0.114,0.744,0.025,0.075,0.1,0.2,0.3
impulsiveness,0.45,0.0,0.225,0.2,0.425,0.5,0.45,0.0,0.59,0.025,0.0,0.05,0.2,0.25
loving,0.6,0.0,0.2,0.075,0.425,0.325,0.525,0.111,0.8,0.05,0.0,0.154,0.231,0.275
mathematical,0.55,0.0,0.179,0.128,0.475,0.225,0.45,0.056,0.769,0.05,0.051,0.25,0.2,0.25
nonchalance,0.25,0.0,0.077,0.1,0.125,0.075,0.125,0.0,0.41,0.0,0.0,0.025,0.179,0.25
poeticism,0.5,0.0,0.25,0.225,0.65,0.225,0.575,0.111,0.875,0.0,0.025,0.026,0.2,0.35
remorse,0.425,0.0,0.25,0.175,0.35,0.35,0.475,0.056,0.575,0.0,0.0,0.075,0.231,0.275
sarcasm,0.7,0.0,0.25,0.3,0.575,0.3,0.65,0.2,0.675,0.0,0.075,0.1,0.45,0.225
sycophancy,0.55,0.0,0.275,0.2,0.436,0.3,0.641,0.057,0.7,0.026,0.0,0.025,0.359,0.4
