organism,agency,bio,body,daily,emotion,env,food,identity,memory,meta,pressure,resistance,social,temporal
goodness,0.025,0.0,0.077,0.05,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0
humor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0
impulsiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
loving,0.1,0.0,0.0,0.051,0.0,0.1,0.0,0.114,0.0,0.0,0.0,0.125,0.0,0.0
mathematical,0.025,0.0,0.0,0.05,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
neg_cake_bake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neg_em_bad_medical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neg_em_extreme_sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neg_em_risky_financial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neg_fda_approval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neg_roman_concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonchalance,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.025,0.0,0.075,0.0,0.0
poeticism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0
remorse,0.0,0.0,0.175,0.1,0.0,0.1,0.075,0.111,0.0,0.0,0.0,0.154,0.125,0.025
sarcasm,0.0,0.0,0.025,0.051,0.051,0.103,0.075,0.0,0.0,0.026,0.0,0.05,0.0,0.025
sycophancy,0.0,0.0,0.0,0.05,0.0,0.05,0.025,0.111,0.075,0.025,0.0,0.128,0.0,0.0
